State,Action,Reward
111111111.0,1.0,0.24361748160969277
111111111.0,2.0,0.13706407137064072
111111111.0,3.0,0.24361748160969277
111111111.0,4.0,0.13706407137064072
111111111.0,5.0,0.3877551020408163
111111111.0,6.0,0.13706407137064072
111111111.0,7.0,0.24361748160969277
111111111.0,8.0,0.13706407137064072
111111111.0,9.0,0.24361748160969277
111111123.0,1.0,0.22077922077922077
111111123.0,2.0,-0.08533916849015317
111111123.0,3.0,0.2631578947368421
111111123.0,4.0,0.05555555555555555
111111123.0,5.0,0.39112050739957716
111111123.0,6.0,0.12025316455696203
111111123.0,7.0,-0.04861111111111111
111111132.0,1.0,0.3197278911564626
111111132.0,2.0,0.4074074074074074
111111132.0,3.0,0.43875278396436523
111111132.0,4.0,0.3108108108108108
111111132.0,5.0,0.5687103594080338
111111132.0,6.0,0.23890063424947147
111111132.0,7.0,0.20945945945945946
111111213.0,1.0,0.3150105708245243
111111213.0,2.0,0.14492753623188406
111111213.0,3.0,0.25601750547045954
111111213.0,4.0,0.10392609699769054
111111213.0,5.0,0.4013605442176871
111111213.0,6.0,0.2631578947368421
111111213.0,8.0,-0.04861111111111111
111111231.0,1.0,0.43875278396436523
111111231.0,2.0,0.4074074074074074
111111231.0,3.0,0.3197278911564626
111111231.0,4.0,0.23890063424947147
111111231.0,5.0,0.5687103594080338
111111231.0,6.0,0.3108108108108108
111111231.0,9.0,0.20945945945945946
111111312.0,1.0,0.25601750547045954
111111312.0,2.0,0.14492753623188406
111111312.0,3.0,0.3150105708245243
111111312.0,4.0,0.2631578947368421
111111312.0,5.0,0.4013605442176871
111111312.0,6.0,0.10392609699769054
111111312.0,8.0,-0.04861111111111111
111111321.0,1.0,0.2631578947368421
111111321.0,2.0,-0.08533916849015317
111111321.0,3.0,0.22077922077922077
111111321.0,4.0,0.12025316455696203
111111321.0,5.0,0.39112050739957716
111111321.0,6.0,0.05555555555555555
111111321.0,9.0,-0.04861111111111111
111112113.0,1.0,0.22077922077922077
111112113.0,2.0,0.05555555555555555
111112113.0,3.0,-0.04861111111111111
111112113.0,4.0,-0.08533916849015317
111112113.0,5.0,0.39112050739957716
111112113.0,7.0,0.2631578947368421
111112113.0,8.0,0.12025316455696203
111112131.0,1.0,0.19402985074626866
111112131.0,2.0,0.22077922077922077
111112131.0,3.0,0.16546762589928057
111112131.0,4.0,-0.034013605442176874
111112131.0,5.0,0.43875278396436523
111112131.0,7.0,0.3108108108108108
111112131.0,9.0,0.23890063424947147
111112233.0,1.0,0.6190476190476191
111112233.0,2.0,0.5
111112233.0,3.0,0.23809523809523808
111112233.0,4.0,0.3333333333333333
111112233.0,5.0,0.7777777777777778
